"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","grade",15117,15117,6335,2,0.3962115233,4,5,2.000000e+00,6.335000e+03,8.782000e+03,4.190646e-01,5.809354e-01,1.000000e+00
"2","grade", 7216, 7216,2353,1,0.0395422257,4,5,1.000000e+00,4.863000e+03,2.353000e+03,6.739191e-01,3.260809e-01,4.773434e-01
"4","<leaf>", 3008, 3008, 334,1,0.0000000000,0,0,1.000000e+00,2.674000e+03,3.340000e+02,8.889628e-01,1.110372e-01,1.989813e-01
"5","yr_built", 4208, 4208,2019,1,0.0395422257,4,5,1.000000e+00,2.189000e+03,2.019000e+03,5.201996e-01,4.798004e-01,2.783621e-01
"10","yr_built", 1503, 1503, 416,1,0.0018153118,4,5,1.000000e+00,1.087000e+03,4.160000e+02,7.232202e-01,2.767798e-01,9.942449e-02
"20","<leaf>",  510,  510,  54,1,0.0000000000,0,0,1.000000e+00,4.560000e+02,5.400000e+01,8.941176e-01,1.058824e-01,3.373685e-02
"21","sqft_living",  993,  993, 362,1,0.0018153118,4,4,1.000000e+00,6.310000e+02,3.620000e+02,6.354481e-01,3.645519e-01,6.568764e-02
"42","<leaf>",  632,  632, 170,1,0.0000000000,0,0,1.000000e+00,4.620000e+02,1.700000e+02,7.310127e-01,2.689873e-01,4.180724e-02
"43","sqft_lot",  361,  361, 169,2,0.0018153118,4,1,2.000000e+00,1.690000e+02,1.920000e+02,4.681440e-01,5.318560e-01,2.388040e-02
"86","sqft_living",  275,  275, 134,1,0.0018153118,4,4,1.000000e+00,1.410000e+02,1.340000e+02,5.127273e-01,4.872727e-01,1.819144e-02
"172","<leaf>",  207,  207,  87,1,0.0007892660,0,0,1.000000e+00,1.200000e+02,8.700000e+01,5.797101e-01,4.202899e-01,1.369319e-02
"173","<leaf>",   68,   68,  21,2,0.0004735596,0,0,2.000000e+00,2.100000e+01,4.700000e+01,3.088235e-01,6.911765e-01,4.498247e-03
"87","<leaf>",   86,   86,  28,2,0.0006314128,0,0,2.000000e+00,2.800000e+01,5.800000e+01,3.255814e-01,6.744186e-01,5.688959e-03
"11","sqft_living", 2705, 2705,1102,2,0.0102604578,4,5,2.000000e+00,1.102000e+03,1.603000e+03,4.073937e-01,5.926063e-01,1.789376e-01
"22","sqft_living", 1571, 1571, 769,1,0.0102604578,4,2,1.000000e+00,8.020000e+02,7.690000e+02,5.105029e-01,4.894971e-01,1.039227e-01
"44","<leaf>",  336,  336, 103,1,0.0000000000,0,0,1.000000e+00,2.330000e+02,1.030000e+02,6.934524e-01,3.065476e-01,2.222663e-02
"45","sqft_lot", 1235, 1235, 569,2,0.0058405683,4,2,2.000000e+00,5.690000e+02,6.660000e+02,4.607287e-01,5.392713e-01,8.169610e-02
"90","<leaf>",   54,   54,  12,1,0.0000000000,0,0,1.000000e+00,4.200000e+01,1.200000e+01,7.777778e-01,2.222222e-01,3.572137e-03
"91","sqft_lot", 1181, 1181, 527,2,0.0058405683,4,0,2.000000e+00,5.270000e+02,6.540000e+02,4.462320e-01,5.537680e-01,7.812397e-02
"182","<leaf>",  212,  212,  84,1,0.0000000000,0,0,1.000000e+00,1.280000e+02,8.400000e+01,6.037736e-01,3.962264e-01,1.402395e-02
"183","bedrooms",  969,  969, 399,2,0.0025256511,4,0,2.000000e+00,3.990000e+02,5.700000e+02,4.117647e-01,5.882353e-01,6.410002e-02
"366","<leaf>",   16,   16,   0,1,0.0010000000,0,0,1.000000e+00,1.600000e+01,0.000000e+00,1.000000e+00,0.000000e+00,1.058411e-03
"367","yr_built",  953,  953, 383,2,0.0013680610,4,5,2.000000e+00,3.830000e+02,5.700000e+02,4.018888e-01,5.981112e-01,6.304161e-02
"734","sqft_lot",  307,  307, 153,1,0.0013680610,4,0,1.000000e+00,1.540000e+02,1.530000e+02,5.016287e-01,4.983713e-01,2.030826e-02
"1468","<leaf>",   15,   15,   3,1,0.0010000000,0,0,1.000000e+00,1.200000e+01,3.000000e+00,8.000000e-01,2.000000e-01,9.922604e-04
"1469","sqft_lot",  292,  292, 142,2,0.0013680610,4,2,2.000000e+00,1.420000e+02,1.500000e+02,4.863014e-01,5.136986e-01,1.931600e-02
"2938","sqft_living",  213,  213, 101,1,0.0013680610,4,5,1.000000e+00,1.120000e+02,1.010000e+02,5.258216e-01,4.741784e-01,1.409010e-02
"5876","<leaf>",  109,  109,  42,1,0.0007892660,0,0,1.000000e+00,6.700000e+01,4.200000e+01,6.146789e-01,3.853211e-01,7.210425e-03
"5877","sqft_living",  104,  104,  45,2,0.0013680610,4,2,2.000000e+00,4.500000e+01,5.900000e+01,4.326923e-01,5.673077e-01,6.879672e-03
"11754","<leaf>",   29,   29,  10,1,0.0006314128,0,0,1.000000e+00,1.900000e+01,1.000000e+01,6.551724e-01,3.448276e-01,1.918370e-03
"11755","<leaf>",   75,   75,  26,2,0.0003157064,0,0,2.000000e+00,2.600000e+01,4.900000e+01,3.466667e-01,6.533333e-01,4.961302e-03
"2939","<leaf>",   79,   79,  30,2,0.0007892660,0,0,2.000000e+00,3.000000e+01,4.900000e+01,3.797468e-01,6.202532e-01,5.225905e-03
"735","sqft_lot",  646,  646, 229,2,0.0013680610,4,5,2.000000e+00,2.290000e+02,4.170000e+02,3.544892e-01,6.455108e-01,4.273335e-02
"1470","yr_built",  428,  428, 177,2,0.0013680610,4,3,2.000000e+00,1.770000e+02,2.510000e+02,4.135514e-01,5.864486e-01,2.831250e-02
"2940","<leaf>",  130,  130,  56,1,0.0009471192,0,0,1.000000e+00,7.400000e+01,5.600000e+01,5.692308e-01,4.307692e-01,8.599590e-03
"2941","<leaf>",  298,  298, 103,2,0.0007103394,0,0,2.000000e+00,1.030000e+02,1.950000e+02,3.456376e-01,6.543624e-01,1.971291e-02
"1471","<leaf>",  218,  218,  52,2,0.0007892660,0,0,2.000000e+00,5.200000e+01,1.660000e+02,2.385321e-01,7.614679e-01,1.442085e-02
"23","sqft_living", 1134, 1134, 300,2,0.0011575901,4,3,2.000000e+00,3.000000e+02,8.340000e+02,2.645503e-01,7.354497e-01,7.501488e-02
"46","floors",  977,  977, 285,2,0.0011575901,4,2,2.000000e+00,2.850000e+02,6.920000e+02,2.917093e-01,7.082907e-01,6.462923e-02
"92","sqft_living",  183,  183,  88,2,0.0011575901,4,3,2.000000e+00,8.800000e+01,9.500000e+01,4.808743e-01,5.191257e-01,1.210558e-02
"184","<leaf>",   54,   54,  16,1,0.0003157064,0,0,1.000000e+00,3.800000e+01,1.600000e+01,7.037037e-01,2.962963e-01,3.572137e-03
"185","sqft_lot",  129,  129,  50,2,0.0011049724,4,1,2.000000e+00,5.000000e+01,7.900000e+01,3.875969e-01,6.124031e-01,8.533439e-03
"370","<leaf>",   19,   19,   6,1,0.0010000000,0,0,1.000000e+00,1.300000e+01,6.000000e+00,6.842105e-01,3.157895e-01,1.256863e-03
"371","<leaf>",  110,  110,  37,2,0.0000000000,0,0,2.000000e+00,3.700000e+01,7.300000e+01,3.363636e-01,6.636364e-01,7.276576e-03
"93","<leaf>",  794,  794, 197,2,0.0000000000,0,0,2.000000e+00,1.970000e+02,5.970000e+02,2.481108e-01,7.518892e-01,5.252365e-02
"47","<leaf>",  157,  157,  15,2,0.0006314128,0,0,2.000000e+00,1.500000e+01,1.420000e+02,9.554140e-02,9.044586e-01,1.038566e-02
"3","yr_built", 7901, 7901,1472,2,0.0125493291,4,3,2.000000e+00,1.472000e+03,6.429000e+03,1.863055e-01,8.136945e-01,5.226566e-01
"6","grade", 1385, 1385, 579,2,0.0125493291,4,5,2.000000e+00,5.790000e+02,8.060000e+02,4.180505e-01,5.819495e-01,9.161871e-02
"12","sqft_living",  909,  909, 375,1,0.0113654301,4,5,1.000000e+00,5.340000e+02,3.750000e+02,5.874587e-01,4.125413e-01,6.013098e-02
"24","sqft_lot",  555,  555, 162,1,0.0033149171,4,2,1.000000e+00,3.930000e+02,1.620000e+02,7.081081e-01,2.918919e-01,3.671363e-02
"48","<leaf>",  482,  482, 115,1,0.0000000000,0,0,1.000000e+00,3.670000e+02,1.150000e+02,7.614108e-01,2.385892e-01,3.188463e-02
"49","<leaf>",   73,   73,  26,2,0.0000000000,0,0,2.000000e+00,2.600000e+01,4.700000e+01,3.561644e-01,6.438356e-01,4.829000e-03
"25","sqft_lot",  354,  354, 141,2,0.0014996054,4,3,2.000000e+00,1.410000e+02,2.130000e+02,3.983051e-01,6.016949e-01,2.341734e-02
"50","sqft_living",  246,  246, 116,2,0.0014996054,4,3,2.000000e+00,1.160000e+02,1.300000e+02,4.715447e-01,5.284553e-01,1.627307e-02
"100","sqft_living",  177,  177,  79,1,0.0012628256,4,0,1.000000e+00,9.800000e+01,7.900000e+01,5.536723e-01,4.463277e-01,1.170867e-02
"200","<leaf>",   29,   29,   7,1,0.0000000000,0,0,1.000000e+00,2.200000e+01,7.000000e+00,7.586207e-01,2.413793e-01,1.918370e-03
"201","sqft_living",  148,  148,  72,1,0.0012628256,4,1,1.000000e+00,7.600000e+01,7.200000e+01,5.135135e-01,4.864865e-01,9.790302e-03
"402","<leaf>",   96,   96,  38,1,0.0004735596,0,0,1.000000e+00,5.800000e+01,3.800000e+01,6.041667e-01,3.958333e-01,6.350466e-03
"403","<leaf>",   52,   52,  18,2,0.0000000000,0,0,2.000000e+00,1.800000e+01,3.400000e+01,3.461538e-01,6.538462e-01,3.439836e-03
"101","<leaf>",   69,   69,  18,2,0.0000000000,0,0,2.000000e+00,1.800000e+01,5.100000e+01,2.608696e-01,7.391304e-01,4.564398e-03
"51","<leaf>",  108,  108,  25,2,0.0000000000,0,0,2.000000e+00,2.500000e+01,8.300000e+01,2.314815e-01,7.685185e-01,7.144275e-03
"13","<leaf>",  476,  476,  45,2,0.0000000000,0,0,2.000000e+00,4.500000e+01,4.310000e+02,9.453782e-02,9.054622e-01,3.148773e-02
"7","sqft_living", 6516, 6516, 893,2,0.0019994738,4,3,2.000000e+00,8.930000e+02,5.623000e+03,1.370473e-01,8.629527e-01,4.310379e-01
"14","yr_built", 1777, 1777, 462,2,0.0019994738,4,3,2.000000e+00,4.620000e+02,1.315000e+03,2.599887e-01,7.400113e-01,1.175498e-01
"28","sqft_lot",  317,  317, 157,1,0.0019994738,4,5,1.000000e+00,1.600000e+02,1.570000e+02,5.047319e-01,4.952681e-01,2.096977e-02
"56","<leaf>",  148,  148,  55,1,0.0007892660,0,0,1.000000e+00,9.300000e+01,5.500000e+01,6.283784e-01,3.716216e-01,9.790302e-03
"57","sqft_living",  169,  169,  67,2,0.0018942384,4,3,2.000000e+00,6.700000e+01,1.020000e+02,3.964497e-01,6.035503e-01,1.117947e-02
"114","<leaf>",   48,   48,  18,1,0.0009471192,0,0,1.000000e+00,3.000000e+01,1.800000e+01,6.250000e-01,3.750000e-01,3.175233e-03
"115","<leaf>",  121,  121,  37,2,0.0000000000,0,0,2.000000e+00,3.700000e+01,8.400000e+01,3.057851e-01,6.942149e-01,8.004234e-03
"29","<leaf>", 1460, 1460, 302,2,0.0008681926,0,0,2.000000e+00,3.020000e+02,1.158000e+03,2.068493e-01,7.931507e-01,9.658001e-02
"15","<leaf>", 4739, 4739, 431,2,0.0000000000,0,0,2.000000e+00,4.310000e+02,4.308000e+03,9.094746e-02,9.090525e-01,3.134881e-01
