"Median_Age_At_First_Live_Birth_Of_Women_Aged_15_49","Median_Age_At_First_Live_Birth_Of_Women_Aged_15_49_Years_Rural","Median_Age_At_First_Live_Birth_Of_Women_Aged_15_49_Years_Urban","Median_Age_At_First_Live_Birth_Of_Women_Aged_25_49_Years_Total","Median_Age_At_First_Live_Birth_Of_Women_Aged_25_49_Years_Rural","Median_Age_At_First_Live_Birth_Of_Women_Aged_25_49_Years_Urban","Infant_Mortality_Rate_Male","Infant_Mortality_Rate_Female","Infant_Mortality_Rate_Rural_Person","Infant_Mortality_Rate_Rural_Male","Infant_Mortality_Rate_Rural_Female","PP_Currently_Married_Pregnant_Women_Aged_15_49_Years_Registered_For_Anc_Total","PP_Currently_Married_Pregnant_Women_Aged_15_49_Years_Registered_For_Anc_Rural","PP_Currently_Married_Pregnant_Women_Aged_15_49_Years_Registered_For_Anc_Urban","PP_Mothers_Who_Received_Any_Antenatal_Check_Up_Total","PP_Mothers_Who_Received_Any_Antenatal_Check_Up_Rural","PP_Mothers_Who_Received_Any_Antenatal_Check_Up_Urban","PP_Mothers_Who_Had_Antenatal_Check_Up_In_First_Trimester_Total","PP_Mothers_Who_Had_Antenatal_Check_Up_In_First_Trimester_Rural","PP_Mothers_Who_Had_Antenatal_Check_Up_In_First_Trimester_Urban","PP_Mothers_Who_Received_3_Or_More_Antenatal_Care_Total","PP_Mothers_Who_Received_3_Or_More_Antenatal_Care_Rural","PP_Mothers_Who_Received_3_Or_More_Antenatal_Care_Urban","PP_Mothers_Who_Received_At_Least_One_Tetanus_Toxoid_Tt_Injection_Total","PP_Mothers_Who_Received_At_Least_One_Tetanus_Toxoid_Tt_Injection_Rural","PP_Mothers_Who_Received_At_Least_One_Tetanus_Toxoid_Tt_Injection_Urban","PP_Mothers_Who_Consumed_Ifa_For_100_Days_Or_More_Total","PP_Mothers_Who_Consumed_Ifa_For_100_Days_Or_More_Rural","PP_Mothers_Who_Consumed_Ifa_For_100_Days_Or_More_Urban","PP_Mothers_Who_Had_Full_Antenatal_Check_Up_Total","PP_Mothers_Who_Had_Full_Antenatal_Check_Up_Rural","PP_Mothers_Who_Had_Full_Antenatal_Check_Up_Urban","PP_Mothers_Who_Received_Anc_From_Govt_Source_Total","PP_Mothers_Who_Received_Anc_From_Govt_Source_Rural","PP_Mothers_Who_Received_Anc_From_Govt_Source_Urban","PP_Mothers_Whose_Blood_Pressure_Bp_Taken_Total","PP_Mothers_Whose_Blood_Pressure_Bp_Taken_Rural","PP_Mothers_Whose_Blood_Pressure_Bp_Taken_Urban","PP_Mothers_Whose_Blood_Taken_For_Hb_Total","PP_Mothers_Whose_Blood_Taken_For_Hb_Rural","PP_Mothers_Whose_Blood_Taken_For_Hb_Urban","PP_Mothers_Who_Underwent_Ultrasound_Total","PP_Mothers_Who_Underwent_Ultrasound_Rural","PP_Mothers_Who_Underwent_Ultrasound_Urban","QQ_Institutional_Delivery_Total","QQ_Institutional_Delivery_Rural","QQ_Institutional_Delivery_Urban","QQ_Delivery_At_Government_Institution_Total","QQ_Delivery_At_Government_Institution_Rural","QQ_Delivery_At_Government_Institution_Urban","QQ_Delivery_At_Private_Institution_Total","QQ_Delivery_At_Private_Institution_Rural","QQ_Delivery_At_Private_Institution_Urban","QQ_Delivery_At_Home_Total","QQ_Delivery_At_Home_Rural","QQ_Delivery_At_Home_Urban","QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total","QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural","QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban","QQ_Safe_Delivery_Total","QQ_Safe_Delivery_Rural","QQ_Safe_Delivery_Urban","QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total","QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural","QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban","QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total","QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural","QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban","RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Total","RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Rural","RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Urban","RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total","RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Rural","RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Urban","RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Total","RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Rural","RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Urban","RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Total","RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Rural","RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Urban","RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Total","RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural","RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Urban","Children_Whose_Birth_Weight_Was_Taken_Total","Children_Whose_Birth_Weight_Was_Taken_Rural","Children_Whose_Birth_Weight_Was_Taken_Urban","Children_With_Birth_Weight_Less_Than_2_5_Kg_Rural","Children_With_Birth_Weight_Less_Than_2_5_Kg_Urban","Neo_Natal_Mortality_Rate_Total","Neo_Natal_Mortality_Rate_Rural","Neo_Natal_Mortality_Rate_Urban","Infant_Mortality_Rate_Total_Lower_Limit","Infant_Mortality_Rate_Total_Upper_Limit","Infant_Mortality_Rate_Rural_Lower_Limit","Infant_Mortality_Rate_Rural_Upper_Limit","Infant_Mortality_Rate_Urban_Lower_Limit","Infant_Mortality_Rate_Urban_Upper_Limit"
22.7,22.4,25.1,22.4,22.1,24.4,51,34,44,51,38,70.7,69.2,94.7,94,93.7,98.1,35.7,34.7,47.8,55.6,53.6,78.3,94,93.7,98.1,18.9,17.9,30.6,14,12.9,27.4,89.6,91,74,84.7,83.9,94.3,44.7,42.5,70.1,29.8,28,51.6,52.3,49.6,84.7,45,44,56.7,7.3,5.5,28,47.4,50.2,14.6,19.8,19.6,26.1,57.6,55.1,87.3,10.6,9.9,16.9,64,62.2,68.2,30.3,32,18.8,50.1,47.7,79,56.2,53.9,82.2,43.3,45.6,16.6,50.2,47.8,78.2,55.3,52.9,84.8,22.7,21,31,32,NA,34,51,36,54,NA,NA
22.3,21.9,25,21.9,21.5,24.4,47,48,50,50,51,76.1,75.2,87.5,92.6,92.1,98.6,43.7,41.6,66.9,59.5,57.4,83.4,92.5,92,97.9,21.1,20.4,29,16.3,15.4,26.9,92.9,95.3,67.7,80,78.9,92.1,41.2,38,77.6,23.6,20.4,59.7,54.8,52,86.6,49.1,48.6,54.8,5.5,3.2,31.7,45.1,47.9,12.8,34.8,34.4,54.1,65,62.7,90.7,7.9,6.1,25.2,60.9,58.1,64.1,24.4,25,20.3,51.3,48.5,82.4,55.3,52.6,85.2,44.4,47,14.8,49.1,46.4,78.5,55.7,52.9,86.4,21.6,21.2,27,28,NA,40,55,42,59,NA,NA
23.3,22.9,25,22.7,22.2,24.7,52,54,56,54,58,78.5,78.1,81.7,95.6,95.2,97.7,57.8,56.2,66.7,66.5,64.6,77,95.3,94.9,97.2,21.5,20.6,26.5,17.8,16.7,24,50.3,52.3,39.8,84.1,82.4,93,85.7,84.5,92.4,83.3,82.2,89.7,64.8,61.5,82.4,54.1,53.6,57.1,10.3,7.5,25.2,34.9,38.1,17.3,35.7,35.3,41.2,69.4,66.6,84.3,8.6,7.4,15.1,54.3,46.3,67.1,27.9,32.7,8.7,66.8,63.3,85.4,69.7,66.3,87.6,26.2,29.3,9.8,63.5,60.2,81.4,61.7,58.3,80.3,27.8,27.8,35,38,21,47,58,50,62,25,49
23.1,22.9,NA,22.6,22.5,NA,69,71,71,70,72,86.5,86,NA,91.3,90.9,NA,39.9,39.5,NA,51.9,51.2,NA,91.3,90.9,NA,29.4,28.1,NA,17.1,16,NA,91.3,92.5,NA,82.8,82.5,NA,54.7,54,NA,29.8,28.2,NA,63,62.4,NA,57.6,57.7,NA,5.3,4.5,NA,36.6,37.2,NA,24,23.1,NA,67.1,66.3,NA,6.7,6.4,NA,66.6,63.6,NA,17.5,17.8,NA,63.8,63.3,NA,66.9,66.2,NA,33.1,33.8,NA,59.6,59.2,NA,65,64.6,NA,26.2,NA,40,41,NA,51,89,52,91,NA,NA
23.1,23,24.2,22.8,22.7,23.6,37,37,38,38,38,75.9,75.7,80,94.9,95,94.3,60.8,60.3,66.1,66.9,66.8,68.7,94.7,94.8,94.3,14.4,13.7,23,11,10.6,16,92.4,93.1,84.2,83.7,83.3,88,45.4,45.2,48.1,22.8,22,32.2,72.3,71.6,80.3,69.5,69.3,71.3,2.7,2.2,8.5,27.1,27.8,19.5,24.9,24.8,25.8,77.3,76.7,84.5,9,8.6,13.2,44.5,42.3,51.3,48.3,48,51.2,67.2,66.7,74,70.7,70.2,77.5,28.1,28.6,21.4,68.4,67.6,76.9,74.1,73.4,82.2,14.3,17.1,25,27,10,30,43,31,45,9,33
21.3,20.9,24.3,20.9,20.6,23.6,67,70,70,71,70,64.9,62.9,94.7,88.7,87.8,97.9,33.4,31.8,50.7,39.7,37.4,64.6,88.6,87.7,97.9,14.3,13.9,18.8,7.6,7.1,13.2,94.1,95,85.1,72.6,71.6,83.3,29.4,27,54.9,17.3,14.7,45.1,42.4,38.7,82.6,39.3,36.8,66.7,3.1,1.9,16,57.3,61,16.7,23,22.9,29.2,50.7,47.4,87.5,6.2,4.3,17.7,45.3,46.6,43.5,31.8,34.6,17.6,47.5,44.1,83.3,52.1,49.1,84.7,46.9,50.1,13.2,45.8,43.3,72.9,41.7,37.9,83.8,16,19.3,50,51,NA,58,80,59,82,NA,NA
23.6,23.2,25,23.2,22.8,24.6,51,51,52,54,51,86,84.2,95,97.3,97,98.6,68,66,76.2,84.8,83.5,90.1,97.2,96.9,98.2,32.8,33.5,29.9,29.3,29.4,29.1,66.3,67.4,61.9,96.4,95.9,98.2,93.1,93.2,92.5,91.3,90.5,94.1,81.2,79.3,89.1,54.7,55.4,51.8,26.5,23.9,37.3,18.6,20.5,10.8,36.4,36.6,35.3,86.5,85.1,92.4,18.3,16.9,24.1,35.2,22.8,67.2,13.7,14.2,11.9,81.7,79.8,89.4,84.1,82.7,90.2,12.3,13.3,8.1,78.3,77.1,83.1,81.8,80.4,87.7,33.1,26.5,34,37,22,45,57,46,59,28,61
21.4,21.3,23,21.1,21,22.3,53,53,55,54,56,76.2,75.6,88.9,94.8,94.6,97.8,40.8,40,51.7,65.4,65,70.6,94.8,94.6,97.8,18,17.8,21.2,14.6,14.3,19,97.5,97.9,91.6,73.7,72.8,85.5,38.4,38,43.9,18.4,17.3,33.5,55.6,54.7,68,51.3,51,54.3,4.4,3.7,13.8,44.2,45.1,32,36,35.7,43,67.2,66.5,77.7,6.7,6.2,12.3,60.2,58.1,67.6,32.5,33.9,18,51.2,50.8,56.5,55.9,55.6,59.5,42.7,42.9,39.4,48.6,48.1,54.6,57.6,56.5,71.4,18.1,20.8,38,40,NA,44,62,46,64,NA,NA
23.6,23.3,25.7,23.2,22.9,25.6,55,57,59,58,60,82.8,82.2,87.2,96.1,95.8,98.2,65.9,64.7,76.1,75,73.5,87.2,95.8,95.6,98.2,21.8,22.1,19.3,18.4,18.4,18.3,76.8,79.4,55.5,93.1,92.8,96.3,88.7,87.7,96.3,84.8,84.4,88.1,73,71.3,87.5,59.6,61.7,42.2,13.4,9.6,45.3,26.6,28.3,12.2,43.9,44,42.5,82.2,81,92.4,7.3,6.6,15.9,51,46.1,59.5,25.5,27.3,13.3,79.4,78.2,89.9,81.9,80.9,91.4,17.1,18.3,7.3,73.9,72.2,87.5,75.5,74.1,87.3,25.1,21.6,43,45,NA,46,66,48,70,NA,NA
22.7,22.2,NA,22.1,21.6,NA,56,48,54,56,52,74.6,73.2,NA,93.8,93.4,NA,53.5,50.9,NA,64,61.7,NA,93.6,93.1,NA,14.8,15.1,NA,12.2,12.5,NA,54.6,56,NA,81.5,80.5,NA,52.7,52.7,NA,16.1,13.1,NA,42.1,37.5,NA,35.9,34.9,NA,6.2,2.5,NA,57.8,62.4,NA,24.4,24.3,NA,45.2,40.9,NA,10.6,10.2,NA,65.4,65.3,NA,14.8,16.1,NA,46.4,42.2,NA,47.9,43.9,NA,45.8,49.5,NA,39,35.5,NA,36.9,32.3,NA,22.1,NA,36,38,NA,35,69,36,73,NA,NA
